Entity,Code,Year,Renewable energy share in the total final energy consumption (%)
Africa (UN),,2020,48.14
Angola,AGO,2020,60.57
Benin,BEN,2020,46.2
Bhutan,BTN,2020,83.91
Brazil,BRA,2020,50
Burkina Faso,BFA,2020,72.96
Burundi,BDI,2020,83.44
Cambodia,KHM,2020,46.62
Cameroon,CMR,2020,78.93
Central African Republic,CAF,2020,89.14
Chad,TCD,2020,71.89
Comoros,COM,2020,50.83
Congo,COG,2020,70.91
Cote d'Ivoire,CIV,2020,61.13
Democratic Republic of Congo,COD,2020,94.95
Eritrea,ERI,2020,80.93
Estonia,EST,2020,40.28
Eswatini,SWZ,2020,68.38
Ethiopia,ETH,2020,88.68
Finland,FIN,2020,47.3
Gabon,GAB,2020,91.14
Gambia,GMB,2020,49.8
Ghana,GHA,2020,40.4
Guatemala,GTM,2020,65.46
Guinea,GIN,2020,66.26
Guinea-Bissau,GNB,2020,81.12
Haiti,HTI,2020,76.6
Honduras,HND,2020,48.87
Iceland,ISL,2020,82.92
Kenya,KEN,2020,69.14
Kiribati,KIR,2020,42.24
Laos,LAO,2020,56.52
Latvia,LVA,2020,43.75
Least Developed Countries (LDCs),,2020,70.1
Lesotho,LSO,2020,43.58
Liberia,LBR,2020,92.96
Liechtenstein,LIE,2020,55.21
Madagascar,MDG,2020,84.94
Malawi,MWI,2020,86.35
Mali,MLI,2020,63.26
Mozambique,MOZ,2020,80.15
Myanmar,MMR,2020,59.25
Nepal,NPL,2020,73.09
Nicaragua,NIC,2020,52.25
Niger,NER,2020,81.91
Nigeria,NGA,2020,54.05
Norway,NOR,2020,60.82
Papua New Guinea,PNG,2020,51.39
Paraguay,PRY,2020,61.93
Rwanda,RWA,2020,81.72
Sao Tome and Principe,STP,2020,41.41
Sierra Leone,SLE,2020,74.24
Solomon Islands,SLB,2020,49.03
Somalia,SOM,2020,90.33
Sri Lanka,LKA,2020,49.27
Sub-Saharan Africa (UN SDG),,2020,62.54
Sudan,SDN,2020,62.59
Sweden,SWE,2020,57.63
Tanzania,TZA,2020,80.94
Togo,TGO,2020,72.69
Uganda,UGA,2020,91.64
Uruguay,URY,2020,61.21
Zambia,ZMB,2020,82.68
Zimbabwe,ZWE,2020,68.3
